timestamp,ue_rnti,dl_cqi,dl_mcs,dl_bitrate,dl_bler,ul_snr,ul_mcs,ul_bitrate,ul_bler,ul_phr,ul_bsr,nof_rach
1698341440.2380002,73,0.1,0.0,0.0,0.0,26.502745,24.0,10679999.0,0.0,0.0,140365,6
1698341440.338,73,5.0,14.247312,214800.0,0.0,26.708675,24.0,10257600.0,0.0,40.0,11738,6
1698341440.438,73,5.0,15.0,38480.0,0.0,26.726171,24.0,1303920.0,0.0,0.0,0,6
1698341440.538,73,5.0,14.662651,172525.23,0.0,26.688866,24.0,8547797.0,0.0,40.0,42172,6
1698341440.638,73,5.0,13.727273,83313.125,0.0,26.69809,24.0,3173575.5,0.0,40.0,0,6
1698341440.7380002,73,5.0,14.631579,172525.23,0.0,26.937494,24.0,8547797.0,0.0,40.0,42172,6
1698341440.838,73,5.0,13.703705,76000.0,0.0,26.476519,24.0,2932851.0,0.0,40.0,0,6
1698341440.9390001,73,5.0,14.300002,134893.61,0.0,26.670038,24.0,6933616.5,0.0,40.0,72515,6
1698341441.038,73,5.0,14.511628,127757.57,0.0,26.571531,24.0,5353696.5,0.0,40.0,0,6
1698341441.138,73,5.0,14.32258,134755.55,0.0,26.951273,24.0,7123111.0,0.0,40.0,72259,6
1698341441.2380002,73,5.0,14.658537,117483.14,5.0,26.640802,24.0,4802696.5,0.0,40.0,0,6
1698341441.338,73,5.0,14.0,76640.0,0.0,26.932766,24.0,4359280.0,0.0,40.0,101852,6
1698341441.438,73,5.0,14.066667,167707.31,0.0,26.53774,24.0,6854341.5,0.0,40.0,0,6
1698341441.538,73,5.0,14.461538,95209.875,6.6666665,26.906244,24.0,5381827.0,0.0,40.0,101852,6
1698341441.638,73,5.0,13.650794,174880.0,3.030303,26.886454,24.0,7458480.0,0.0,40.0,0,6
1698341441.7380002,73,5.0,14.222222,35384.613,0.0,27.345755,24.0,2958666.5,0.0,40.0,120538,6
1698341441.838,73,5.0,14.169492,225846.16,0.0,26.930147,24.0,9288308.0,0.0,40.0,0,6
1698341441.938,73,5.0,14.391304,27600.0,0.0,27.367756,24.0,2307760.0,0.0,40.0,120538,6
1698341442.038,73,5.5,13.292308,220756.75,6.25,26.800974,24.0,9270162.0,0.0,40.0,0,6
1698341442.138,73,5.0,0.0,0.0,0.0,27.85516,24.0,351013.66,0.0,40.0,140365,6
1698341442.2380002,73,5.0,13.989899,214320.0,0.0,26.831034,24.0,10257600.0,0.0,40.0,11738,6
1698341442.339,73,5.0,0.0,0.0,0.0,28.30958,24.0,511323.94,0.0,40.0,140365,6
1698341442.438,73,5.0,14.319445,228228.58,0.0,26.811623,24.0,10257600.0,0.0,40.0,11738,6
1698341442.538,73,5.0,15.0,38480.0,0.0,26.456944,24.0,1303920.0,0.0,0.0,0,6
1698341442.639,73,5.0,13.923078,233454.55,0.0,26.770063,24.0,10457818.0,0.0,40.0,42428,6
1698341442.7380002,73,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341442.838,73,5.0,14.346666,170480.0,3.125,26.856997,24.0,8462320.0,0.0,40.0,42172,6
1698341442.938,73,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341443.038,73,5.0,14.540983,209103.44,0.0,26.74472,24.0,10243034.0,0.0,40.0,72259,6
1698341443.138,73,5.0,14.23913,132000.0,0.0,26.63006,24.0,5406960.0,0.0,40.0,0,6
1698341443.2380002,73,5.0,14.44,228830.17,0.0,26.904436,24.0,10281509.0,0.0,40.0,72259,6
1698341443.338,73,5.0,0.0,31846.152,0.0,26.981737,24.0,945692.3,0.0,0.0,0,6
1698341443.438,73,5.0,13.710528,76960.0,0.0,26.816422,24.0,4359280.0,0.0,40.0,101852,6
1698341443.538,73,5.0,14.5625,123265.3,0.0,26.619148,24.0,4536489.5,0.0,0.0,0,6
1698341443.638,73,5.0,14.533334,160666.67,0.0,26.755426,24.0,8993000.0,0.0,40.0,101852,6
1698341443.7380002,73,5.0,14.138462,174415.83,0.0,26.806278,24.0,7384633.5,0.0,40.0,0,6
1698341443.838,73,5.0,14.611111,59999.996,0.0,27.306475,24.0,5016869.0,0.0,40.0,120538,6
1698341443.938,73,5.0,14.40625,203304.33,5.5555553,26.772875,24.0,8687478.0,0.0,40.0,0,6
1698341444.038,73,5.0,0.0,19680.0,0.0,34.987896,24.0,53040.0,0.0,40.0,0,6
1698341444.138,73,5.0,14.5,91809.516,0.0,33.792675,24.0,266095.22,0.0,40.0,0,6
1698341444.2380002,73,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341444.338,73,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341444.438,73,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341444.538,73,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341444.638,73,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341444.7380002,73,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341444.838,73,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341444.938,73,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341445.038,73,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341445.138,73,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341445.2380002,73,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341445.338,73,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341445.438,73,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341445.538,73,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341445.638,73,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341445.7380002,73,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341445.838,73,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341202.012,70,0.1,0.0,0.0,0.0,0.1,0.1,0.0,100.0,0.0,0,6
1698341202.012,71,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341202.012,72,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341202.012,73,0.1,0.0,0.0,0.0,0.1,0.1,0.0,100.0,0.0,0,6
1698341202.012,74,0.1,8.0,6918.919,0.0,29.976507,0.1,1513.5135,0.0,0.0,0,6
1698341202.012,75,0.1,0.0,0.0,0.0,0.1,0.1,0.0,100.0,0.0,0,6
1698341202.112,74,5.0,3.4,15304.347,0.0,29.38657,24.0,139043.47,0.0,40.0,0,6
1698341202.2120001,74,5.0,1.0,1120.0,0.0,29.231756,24.0,42640.0,0.0,40.0,0,6
1698341202.312,74,5.0,0.0,6818.181,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341202.412,74,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341202.512,74,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341202.612,74,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341202.7120001,74,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341202.812,74,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341202.912,74,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341203.012,74,5.0,0.0,7499.9995,0.0,32.196114,24.0,59799.996,0.0,40.0,0,6
1698341203.112,74,5.0,0.0,14720.0,0.0,33.90424,24.0,116720.0,0.0,40.0,0,6
1698341203.2120001,74,5.0,7.357143,50210.523,0.0,29.295364,24.0,2128315.75,0.0,40.0,0,6
1698341203.312,74,5.0,7.641791,242239.98,0.0,25.574024,24.0,5613120.0,0.0,40.0,0,6
1698341203.412,74,5.0,7.3369565,198160.0,0.0,25.900139,24.0,6410800.0,0.0,40.0,50668,6
1698341203.512,74,5.0,6.5555553,88109.58,0.0,26.110853,24.0,3483945.0,0.0,40.0,0,6
1698341203.612,74,5.0,7.4545455,165859.16,0.0,25.976551,24.0,9029295.0,0.0,40.0,50668,6
1698341203.7120001,74,5.0,7.5576925,128480.0,0.0,25.851385,24.0,5406960.0,0.0,40.0,0,6
1698341203.812,74,5.0,7.448276,183999.98,0.0,25.74806,24.0,9950250.0,0.0,40.0,60614,6
1698341203.912,74,5.0,7.0,67809.52,0.0,26.12332,24.0,2578285.75,0.0,0.0,0,6
1698341204.012,74,5.0,7.6944447,74880.0,0.0,25.768469,24.0,4359280.0,0.0,40.0,60614,6
1698341204.112,74,5.0,7.0833335,134000.0,0.0,25.77513,24.0,5592400.0,0.0,40.0,0,6
1698341204.2120001,74,5.0,7.5882354,126915.24,0.0,26.013025,24.0,7388609.5,0.0,40.0,72259,6
1698341204.312,74,5.0,7.328125,169663.36,0.0,25.708466,24.0,7384633.5,0.0,40.0,0,6
1698341204.412,74,5.0,7.3157897,47857.14,0.0,26.117392,24.0,4120999.75,0.0,40.0,85892,6
1698341204.512,74,5.0,7.5111113,210857.14,0.0,25.799196,24.0,8777143.0,0.0,40.0,0,6
1698341204.612,74,5.0,7.0555553,27070.705,0.0,25.944466,24.0,2331070.5,0.0,40.0,85892,6
1698341204.7120001,74,5.0,6.9534883,206769.22,0.0,25.168983,24.0,8836154.0,0.0,40.0,0,6
1698341204.812,74,5.0,0.0,0.0,0.0,26.573717,24.0,502431.34,0.0,40.0,99804,6
1698341204.913,74,5.0,7.509091,235360.0,0.0,25.498264,24.0,10364400.0,0.0,40.0,11994,6
1698341205.012,74,5.0,0.0,0.0,0.0,27.934963,24.0,533833.3,0.0,40.0,118490,6
1698341205.112,74,5.0,7.351852,223333.33,0.0,26.021,24.0,10240000.0,0.0,40.0,11738,6
1698341205.2120001,74,5.0,8.0,37360.0,0.0,26.160631,24.0,1303920.0,0.0,0.0,0,6
1698341205.312,74,5.0,7.0540543,231454.53,0.0,25.696323,24.0,10295999.0,0.0,40.0,42172,6
1698341205.412,74,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341205.512,74,5.0,7.3157897,166160.0,0.0,25.631355,24.0,8462320.0,0.0,40.0,42172,6
1698341205.612,74,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341205.7120001,74,5.0,7.7222223,220307.69,0.0,25.81571,24.0,10246769.0,0.0,40.0,72259,6
1698341205.812,74,5.0,7.4468083,133840.0,0.0,25.964104,24.0,5406960.0,0.0,40.0,0,6
1698341205.912,74,5.0,7.4814816,217749.98,0.0,25.894012,24.0,10284000.0,0.0,40.0,72259,6
1698341206.012,74,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
